name,root_url,ecosystems,separator,found_repos
ip2location-io-java,https://github.com/ip2location/ip2location-io-java,"Go, Maven",-,"ip2location-io-dart, ip2location-io-dotnet, ip2location-io-erlang, ip2location-io-go, ip2location-io-haskell, ip2location-io-java, ip2location-io-kotlin, ip2location-io-lua, ip2location-io-nodejs, ip2location-io-ocaml, ip2location-io-php, ip2location-io-python, ip2location-io-r, ip2location-io-ruby, ip2location-io-rust, ip2location-io-scala"
dropbox-sdk-java,https://github.com/dropbox/dropbox-sdk-java,"Go, Maven",-,"dropbox-sdk-dotnet, dropbox-sdk-java, dropbox-sdk-js, dropbox-sdk-python, dropbox-sdk-rust"
greptimedb-ingester-java,https://github.com/greptimeteam/greptimedb-ingester-java,"Go, Maven",-,"greptimedb-ingester-c, greptimedb-ingester-cpp, greptimedb-ingester-dotnet, greptimedb-ingester-erl, greptimedb-ingester-go, greptimedb-ingester-java, greptimedb-ingester-js, greptimedb-ingester-py, greptimedb-ingester-rust"
gateapi-java,https://github.com/gateio/gateapi-java,"Go, Maven",-,"gateapi-csharp, gateapi-go, gateapi-java, gateapi-js, gateapi-nodejs, gateapi-php, gateapi-python"
firebase-admin-java,https://github.com/firebase/firebase-admin-java,"Go, Maven",-,"firebase-admin-dotnet, firebase-admin-go, firebase-admin-java, firebase-admin-node, firebase-admin-python"
transit-js,https://github.com/cognitect/transit-js,"Go, Maven",-,"transit-clj, transit-java, transit-js, transit-python, transit-ruby"
ironoxide-java,https://github.com/ironcorelabs/ironoxide-java,"Go, Maven",-,"ironoxide-scala, ironoxide-swift"
ironoxide-scala,https://github.com/ironcorelabs/ironoxide-scala,"Go, Maven",-,"ironoxide-scala, ironoxide-swift"
transit-clj,https://github.com/cognitect/transit-clj,"Go, Maven",-,"transit-clj, transit-java, transit-js, transit-python, transit-ruby"
typesense-java,https://github.com/typesense/typesense-java,"Go, Maven",-,"typesense-dart, typesense-go, typesense-java, typesense-js, typesense-php, typesense-python, typesense-ruby, typesense-rust, typesense-swift"
scala-synapses,https://github.com/mrdimosthenis/scala-synapses,"Go, Maven",-,"synapses-java, synapses-py"
synapses-java,https://github.com/mrdimosthenis/synapses-java,"Go, Maven",-,"synapses-java, synapses-py"
tock,https://github.com/theopenconversationkit/tock,"Go, Maven",-,"tock-node, tock-py, tock-python"
hdt-java,https://github.com/rdfhdt/hdt-java,"Go, Maven",-,"hdt-cpp, hdt-java"
altcha-lib-java,https://github.com/altcha-org/altcha-lib-java,"Go, Maven",-,"altcha-lib-ex, altcha-lib-go, altcha-lib-java, altcha-lib-php, altcha-lib-py, altcha-lib-rb"
sdk-java,https://github.com/restatedev/sdk-java,"Go, Maven",-,"sdk-go, sdk-java, sdk-python, sdk-rust, sdk-typescript"
clickhouse-java,https://github.com/clickhouse/clickhouse-java,"Go, Maven",-,"clickhouse-cpp, clickhouse-cs, clickhouse-go, clickhouse-java, clickhouse-js, clickhouse-rs"
autobahn-java,https://github.com/crossbario/autobahn-java,"Go, Maven",-,"autobahn-c, autobahn-cpp, autobahn-java, autobahn-js, autobahn-python"
nanopub-java,https://github.com/nanopublication/nanopub-java,"Go, Maven",-,"nanopub-java, nanopub-js, nanopub-py"
google-maps-services-java,https://github.com/googlemaps/google-maps-services-java,"Go, Maven",-,"google-maps-services-go, google-maps-services-java, google-maps-services-js, google-maps-services-python"
rsocket-java,https://github.com/rsocket/rsocket-java,"Go, Maven",-,"rsocket-c, rsocket-cpp, rsocket-dart, rsocket-go, rsocket-java, rsocket-js, rsocket-kotlin, rsocket-net, rsocket-php, rsocket-py, rsocket-rb, rsocket-rust, rsocket-swift"
dotenv-kotlin,https://github.com/cdimascio/dotenv-kotlin,"Go, Maven",-,"dotenv-java, dotenv-kotlin"
mockito-kotlin,https://github.com/mockito/mockito-kotlin,"Go, Maven",-,"mockito-kotlin, mockito-scala"
elastic-otel-java,https://github.com/elastic/elastic-otel-java,"Go, Maven",-,"elastic-otel-dotnet, elastic-otel-java, elastic-otel-node, elastic-otel-php, elastic-otel-python"
elasticsearch-java,https://github.com/elastic/elasticsearch-java,"Go, Maven",-,"elasticsearch-groovy, elasticsearch-java, elasticsearch-js, elasticsearch-net, elasticsearch-perl, elasticsearch-php, elasticsearch-py, elasticsearch-rs, elasticsearch-ruby"
opentelemetry-operations-java,https://github.com/googlecloudplatform/opentelemetry-operations-java,"Go, Maven",-,"opentelemetry-operations-cpp, opentelemetry-operations-go, opentelemetry-operations-java, opentelemetry-operations-js, opentelemetry-operations-python, opentelemetry-operations-ruby"
splunk-otel-java,https://github.com/signalfx/splunk-otel-java,"Go, Maven",-,"splunk-otel-cpp, splunk-otel-dotnet, splunk-otel-flutter, splunk-otel-go, splunk-otel-java, splunk-otel-js, splunk-otel-python, splunk-otel-ruby"
mu-scala,https://github.com/higherkindness/mu-scala,"Go, Maven",-,"mu-haskell, mu-kt, mu-scala"
tui-scala,https://github.com/oyvindberg/tui-scala,"Go, Maven",-,"tui-rs, tui-scala"
