Normalized_URL,Crates_ID,Crates_Name,Crates_Homepage,Crates_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo
github.com/wouterken/htmltoadf,192799,htmltoadf,https://github.com/wouterken/htmltoadf,https://github.com/wouterken/htmltoadf,2175076,htmltoadf,https://github.com/wouterken/htmltoadf,git+https://github.com/wouterken/htmltoadf.git
github.com/astrabert/postgres-dv,192802,postgres-dv,,https://github.com/AstraBert/postgres-dv,219096,@cle-does-things/postgres-dv,https://github.com/AstraBert/postgres-dv#readme,git+https://github.com/AstraBert/postgres-dv.git
github.com/marcomq/tauri-plugin-python,192976,tauri-plugin-python,https://github.com/marcomq/tauri-plugin-python,https://github.com/marcomq/tauri-plugin-python,3346845,tauri-plugin-python-api,https://github.com/marcomq/tauri-plugin-python#readme,git+https://github.com/marcomq/tauri-plugin-python.git
github.com/ldclabs/anda-cloud,193386,anda_cloud_cdk,,https://github.com/ldclabs/anda-cloud/tree/main/src/anda_cloud_cdk,635827,@ldclabs/anda_x402,https://github.com/ldclabs/anda-cloud/tree/main/ts/anda_x402,git+https://github.com/ldclabs/anda-cloud.git
github.com/epistates/turbomcp,212128,turbomcp-proxy,https://turbomcp.org,https://github.com/Epistates/turbomcp,3461338,turbomcp-wasm,https://turbomcp.org,git+https://github.com/Epistates/turbomcp.git
github.com/skipperndt/tauri-plugin-machine-uid,193726,tauri-plugin-machine-uid,https://github.com/SkipperNDT/tauri-plugin-machine-uid,https://github.com/SkipperNDT/tauri-plugin-machine-uid,1008100,@skipperndt/plugin-machine-uid,,https://github.com/SkipperNDT/tauri-plugin-machine-uid
github.com/6over3/bebop,193806,bebop-tools,https://docs.bebop.sh,https://github.com/6over3/bebop,1443345,bebop,https://github.com/6over3/bebop,git+https://github.com/6over3/bebop.git
github.com/georgeharker/tree-sitter-zsh,194336,tree-sitter-zsh,,https://github.com/georgeharker/tree-sitter-zsh,3443195,tree-sitter-zsh,https://github.com/georgeharker/tree-sitter-zsh#readme,git+https://github.com/georgeharker/tree-sitter-zsh.git
github.com/validatorsdao/solana-stream,197831,solana-stream-sdk,https://elsoul.nl/,https://github.com/ValidatorsDAO/solana-stream,1161307,@validators-dao/solana-stream-sdk,https://github.com/ValidatorsDAO/solana-stream#readme,git+https://github.com/ValidatorsDAO/solana-stream.git
github.com/kingsword09/asg,194506,asg,https://github.com/kingsword09/asg,https://github.com/kingsword09/asg,610072,@kingsword/asg,https://github.com/kingsword09/asg#readme,git+https://github.com/kingsword09/asg.git
github.com/sipemu/anofox-statistics-rs,194509,anofox-statistics,,https://github.com/sipemu/anofox-statistics-rs,1004766,@sipemu/anofox-statistics,https://github.com/sipemu/anofox-statistics-rs,git+https://github.com/sipemu/anofox-statistics-rs.git
github.com/mcitem/tauri-plugin-axum,194571,tauri-plugin-axum,,https://github.com/mcitem/tauri-plugin-axum,694942,@mcitem/tauri-plugin-axum,https://github.com/mcitem/tauri-plugin-axum#readme,git+https://github.com/mcitem/tauri-plugin-axum.git
github.com/vasak-os/tauri-plugin-user-data,194616,tauri-plugin-user-data,,https://github.com/Vasak-OS/tauri-plugin-user-data,1163366,@vasakgroup/plugin-user-data,,https://github.com/Vasak-OS/tauri-plugin-user-data/
github.com/aiueo13/tauri-plugin-android-fs,194770,tauri-plugin-android-fs,,https://github.com/aiueo13/tauri-plugin-android-fs,3346744,tauri-plugin-android-fs-api,https://github.com/aiueo13/tauri-plugin-android-fs#readme,git+https://github.com/aiueo13/tauri-plugin-android-fs.git
github.com/openmesh-network/xnode-manager-sdk,194917,xnode-manager-sdk,,https://github.com/Openmesh-Network/xnode-manager-sdk,817912,@openmesh-network/xnode-manager-sdk-react,https://github.com/Openmesh-Network/xnode-manager-sdk#readme,git+https://github.com/Openmesh-Network/xnode-manager-sdk.git
github.com/open-aviation/tangram,194918,tangram_core_rs,https://mode-s.org/tangram/,https://github.com/open-aviation/tangram,812302,@open-aviation/tangram-core,https://github.com/open-aviation/tangram#readme,git+https://github.com/open-aviation/tangram.git
github.com/imshymike/rustytime,195054,rustytime-server,https://rustytime.shymike.dev,https://github.com/ImShyMike/rustytime,3124648,rustytime,https://github.com/ImShyMike/rustytime#readme,git+https://github.com/ImShyMike/rustytime.git
github.com/auvoid/tauri-plugin-crypto-hw,195239,tauri-plugin-crypto-hw,https://auvo.io,https://github.com/auvoid/tauri-plugin-crypto-hw,117861,@auvo/tauri-plugin-crypto-hw-api,https://github.com/auvoid/tauri-plugin-crypto-hw#readme,git+https://github.com/auvoid/tauri-plugin-crypto-hw.git
github.com/k-tecchan/pr-note,195243,pr-note,,https://github.com/K-tecchan/pr-note,872826,@pr-note/pr-note-win32-x64,https://github.com/K-tecchan/pr-note#readme,git+https://github.com/K-tecchan/pr-note.git
github.com/swyrknt/koru-lambda-core,195305,koru-lambda-core,,https://github.com/swyrknt/koru-lambda-core,2361561,koru-lambda-core,https://github.com/swyrknt/koru-lambda-core#readme,git+https://github.com/swyrknt/koru-lambda-core.git
github.com/tree-sitter/tree-sitter-c,195345,tree-sitter-c,,https://github.com/tree-sitter/tree-sitter-c,3442969,tree-sitter-parser-c,https://github.com/tree-sitter/tree-sitter-c#readme,git+https://github.com/tree-sitter/tree-sitter-c.git
github.com/charlie-xiao/tauri-plugin-desktop-underlay,195361,tauri-plugin-desktop-underlay,https://github.com/Charlie-XIAO/tauri-plugin-desktop-underlay,https://github.com/Charlie-XIAO/tauri-plugin-desktop-underlay,3346772,tauri-plugin-desktop-underlay-api,https://github.com/Charlie-XIAO/tauri-plugin-desktop-underlay,git+https://github.com/Charlie-XIAO/tauri-plugin-desktop-underlay.git
github.com/surplus/compiler,195648,surplus,,https://github.com/surplus/compiler.git,1057377,@surplus/compiler,https://github.com/surplus,git+https://github.com/surplus/compiler.git
github.com/snomiao/fbi-proxy,195634,fbi-proxy,https://github.com/snomiao/fbi-proxy,https://github.com/snomiao/fbi-proxy,1934749,fbi-proxy,https://github.com/snomiao/fbi-proxy#readme,git+https://github.com/snomiao/fbi-proxy.git
github.com/lecaobaophuc0912/tauri-plugin-pldownloader,195642,tauri-plugin-pldownloader,https://github.com/lecaobaophuc0912/tauri-plugin-pldownloader,https://github.com/lecaobaophuc0912/tauri-plugin-pldownloader,3346829,tauri-plugin-pldownloader-api,https://github.com/lecaobaophuc0912/tauri-plugin-pldownloader,git+https://github.com/lecaobaophuc0912/tauri-plugin-pldownloader.git
github.com/paul-russo/blots-lang,217989,blots-wasm,https://github.com/paul-russo/blots-lang,https://github.com/paul-russo/blots-lang,1470763,blots-wasm,https://github.com/paul-russo/blots-lang,git+https://github.com/paul-russo/blots-lang.git
github.com/dickwu/tauri-plugin-video-thumbnail,195967,tauri-plugin-video-thumbnail,,https://github.com/dickwu/tauri-plugin-video-thumbnail,3346886,tauri-plugin-video-thumbnail,https://github.com/dickwu/tauri-plugin-video-thumbnail#readme,git+https://github.com/dickwu/tauri-plugin-video-thumbnail.git
github.com/ldclabs/ic-oss,196499,ic-oss-cli,,https://github.com/ldclabs/ic-oss/tree/main/src/ic_oss_cli,635830,@ldclabs/ic_oss_ts,https://github.com/ldclabs/ic-oss,git+https://github.com/ldclabs/ic-oss.git
github.com/amark/gun,196122,gun-rs,,https://github.com/amark/gun,3710974,yson,https://github.com/amark/gun#readme,git+https://github.com/amark/gun.git
github.com/weezy20/zv,196144,zv,https://github.com/weezy20/zv,https://github.com/weezy20/zv,1200831,@weezy20/zv,https://github.com/weezy20/zv,git+https://github.com/weezy20/zv.git
github.com/trezoa-program/token-2022,196304,tpl-token-confidential-transfer-proof-extraction,https://trezoa.xyz,https://github.com/trezoa-program/token-2022,1115226,@trezoa-program/token-2022,https://github.com/trezoa-program/token-2022#readme,git+https://github.com/trezoa-program/token-2022.git
